Join Date,Name,Completed
"Sep 29, 2018, 7:41:24 PM",October Half Marathon,true
"Sep 29, 2018, 7:41:26 PM",October Running Distance Challenge,true
"Sep 29, 2018, 7:41:28 PM",October 10k,true
"Sep 29, 2018, 7:41:40 PM",October Run Climbing Challenge,false
"Oct 29, 2018, 6:54:48 PM",Amazon Deliver Your Best Challenge,true
"Oct 29, 2018, 6:54:57 PM",Petzl Night Running 42 Km Challenge,true
"Nov 1, 2018, 5:04:00 PM",November Run Climbing Challenge,false
"Nov 1, 2018, 5:04:05 PM",November Running Distance Challenge,true
"Nov 1, 2018, 5:04:09 PM",November 10k,true
"Nov 1, 2018, 5:04:11 PM",November Half Marathon,true
"Nov 13, 2018, 12:02:51 PM",The Enertor Running World Cup 2018,true
"Nov 16, 2018, 1:13:17 AM",Turkey Trot Challenge,true
"Nov 19, 2018, 4:52:18 PM","1% For The Planet, 1% For You",true
"Nov 28, 2018, 2:02:07 AM",December Run Climbing Challenge,false
"Nov 28, 2018, 2:02:09 AM",December Running Distance Challenge,true
"Nov 28, 2018, 2:02:10 AM",December 10k,true
"Nov 28, 2018, 2:02:11 AM",December Half Marathon,true
"Dec 26, 2018, 2:35:26 AM",lululemon 40|80 Challenge,true
"Dec 26, 2018, 2:37:17 AM",New Balance - Run You Challenge,true
"Jan 2, 2019, 12:56:55 AM",January Running Distance Challenge,true
"Jan 2, 2019, 12:56:56 AM",January 10K,true
"Jan 2, 2019, 12:56:59 AM",January Run Climbing Challenge,false
"Jan 29, 2019, 12:48:04 AM",February 5K Virtual Race,true
"Jan 29, 2019, 12:48:08 AM",February Running Distance Challenge,true
"Jan 29, 2019, 12:48:10 AM",February Run Climbing Challenge,false
"Jan 29, 2019, 12:48:11 AM",February 10K,true
"Feb 5, 2019, 4:17:13 PM",Zwift x On Valentine's Challenge,true
"Feb 27, 2019, 1:53:58 AM",Runderwear 20 in 2 Challenge,true
"Feb 27, 2019, 1:54:59 AM",March Run Climbing Challenge,false
"Feb 27, 2019, 1:55:01 AM",March Running Distance Challenge,true
"Feb 27, 2019, 1:55:05 AM",March 10K,true
"Mar 12, 2019, 12:56:26 PM",Science in Sport 22k Isotonic Challenge,true
"Mar 31, 2019, 9:13:13 PM",April 5K Virtual Race,false
"Mar 31, 2019, 9:13:22 PM",Salomon Sonic Challenge,true
"Mar 31, 2019, 9:13:27 PM",Nuun Endurance Run Challenge,false
"Mar 31, 2019, 9:13:33 PM",Smartwool X Rob Krar Ultra Run Challenge,true
"Mar 31, 2019, 9:13:37 PM",Polar April 2019 Running Challenge,true
"Mar 31, 2019, 9:13:39 PM",April 10K,true
"Mar 31, 2019, 9:13:40 PM",April Running Distance Challenge,false
"Mar 31, 2019, 9:13:46 PM",April Half Marathon,false
"Mar 31, 2019, 9:13:47 PM",April Run Climbing Challenge,false
"May 5, 2019, 2:26:35 PM",HOKA ONE ONE® Project Carbon X 100K Challenge,false
"May 5, 2019, 2:27:51 PM",Run Your Local Mountain with On,false
"May 5, 2019, 2:28:00 PM",May Run Climbing Challenge,false
"May 5, 2019, 2:28:00 PM",May Running Distance Challenge,false
"May 5, 2019, 2:28:02 PM",May 10K,true
"May 5, 2019, 2:28:06 PM",May Half Marathon,false
"May 5, 2019, 2:28:13 PM",Amgen Breakaway Challenge - Run,true
"May 5, 2019, 2:28:15 PM",May 5K Virtual Race,false
"May 25, 2019, 12:52:51 PM",June 5K Virtual Race,false
"May 25, 2019, 12:53:01 PM",June 10K,true
"May 25, 2019, 12:53:02 PM",June Running Distance Challenge,true
"May 25, 2019, 12:53:09 PM",June Run Climbing Challenge,false
"May 25, 2019, 12:53:11 PM",June Half Marathon,true
"Jun 1, 2019, 3:14:13 PM",Race to the Moon,true
"Aug 19, 2019, 9:12:27 PM",The ROKA Dirty 30,true
"Aug 22, 2019, 5:04:26 PM",The Escape Plan,true
"Aug 22, 2019, 5:04:49 PM",Brooks Best Fest Half Marathon,true
"Aug 28, 2019, 2:59:13 PM",Brooks Best Fest Marathon,true
"Sep 5, 2019, 7:45:11 PM",Saucony September Sixty,true
"Sep 17, 2019, 8:41:53 PM",Reebok UNLOCKED Back-to-Sport,true
"Sep 17, 2019, 8:42:42 PM",Tracksmith Church of the Long Run,true
"Sep 17, 2019, 8:44:29 PM",Be Your Strongest by Tonal,false
"Sep 17, 2019, 8:45:03 PM",G Endurance® Road to Triathlon,true
"Nov 12, 2019, 1:14:32 AM",AfterShokz Half Marathon Challenge,true
"Nov 19, 2019, 11:21:31 PM",The ROKA Turkey Trot Challenge,true
"Nov 20, 2019, 2:43:33 AM",Picky Bars Turkey Week Workout Streak,true
"Dec 9, 2019, 12:58:24 AM",Nuun 12 Days of Muuvment,false
"Dec 27, 2019, 2:34:59 AM",Fleet Feet X Saucony Winter Dozen Challenge,false
"Apr 4, 2021, 10:20:24 PM",1% Better,true
"Apr 10, 2022, 3:29:27 PM",April Running Challenge,true
