Kudos Date,Kudos Type,Parent ID
"Jan 28, 2018, 4:00:44 PM",Activity,1378269636
"Jan 28, 2018, 4:01:03 PM",Activity,1377083925
"Jan 28, 2018, 4:01:13 PM",Activity,1379700124
"Jan 30, 2018, 1:29:36 PM",Activity,1382267627
"Jan 30, 2018, 9:55:52 PM",Activity,1383522047
"Feb 3, 2018, 6:01:53 PM",Activity,1389649015
"Feb 12, 2018, 6:19:27 PM",Activity,1401456957
"Mar 25, 2018, 2:29:38 PM",Activity,1469236059
"Mar 25, 2018, 2:29:57 PM",Activity,1469926920
"Mar 25, 2018, 9:48:13 PM",Activity,1472033592
"Apr 25, 2018, 3:54:14 PM",Activity,1529993968
"Apr 29, 2018, 3:20:41 PM",Activity,1537691552
"Jun 24, 2018, 2:55:19 PM",Activity,1659209002
"Jun 24, 2018, 2:56:34 PM",Activity,1650307065
"Jun 27, 2018, 10:14:10 PM",Activity,1666560896
"Jun 29, 2018, 6:42:29 PM",Activity,1669575789
"Jul 1, 2018, 3:59:03 PM",Activity,1674193759
"Jul 4, 2018, 4:57:04 PM",Activity,1678189262
"Jul 7, 2018, 1:44:12 AM",Activity,1684637771
"Jul 21, 2018, 11:59:25 PM",Activity,1717949609
"Jul 26, 2018, 1:09:19 PM",Activity,1727805055
"Jul 28, 2018, 7:12:00 PM",Activity,1733265285
"Jul 30, 2018, 4:33:46 AM",Activity,1735814341
"Jul 30, 2018, 11:19:46 PM",Activity,1737905218
"Jul 30, 2018, 11:19:52 PM",Activity,1735509499
"Aug 1, 2018, 10:32:19 PM",Activity,1743519877
"Aug 3, 2018, 10:39:13 PM",Activity,1747070516
"Aug 5, 2018, 3:19:45 AM",Activity,1749813472
"Aug 5, 2018, 5:07:26 PM",Activity,1751713374
"Aug 5, 2018, 5:07:41 PM",Activity,1751966730
"Aug 5, 2018, 5:07:51 PM",Activity,1749451804
"Aug 6, 2018, 1:59:59 AM",Activity,1752957526
"Aug 8, 2018, 10:45:13 PM",Activity,1759405232
"Aug 10, 2018, 5:18:26 PM",Activity,1762573966
