Following Athlete ID,Follow Status,Created At
4532925,Accepted,"Jun 24, 2021, 1:08:09 PM"
52604104,Accepted,"Jun 26, 2021, 2:36:30 PM"
9182092,Accepted,"Jun 26, 2021, 2:36:39 PM"
436796,Accepted,"Jul 4, 2021, 4:01:48 PM"
22651417,Accepted,"Jul 4, 2021, 4:02:01 PM"
2019923,Accepted,"Jul 21, 2021, 12:46:05 PM"
488951,Accepted,"Jul 21, 2021, 7:40:09 PM"
525912,Accepted,"Jul 28, 2021, 2:50:02 PM"
35851188,Accepted,"Aug 12, 2021, 2:23:07 PM"
76825062,Accepted,"Sep 6, 2021, 4:39:21 PM"
24465519,Accepted,"Sep 6, 2021, 5:33:44 PM"
31168677,Accepted,"Sep 11, 2021, 5:07:50 PM"
13479304,Accepted,"Sep 18, 2021, 11:49:33 PM"
12182316,Accepted,"Oct 23, 2021, 3:01:35 PM"
13937043,Accepted,"Oct 23, 2021, 3:02:24 PM"
95044927,Accepted,"Nov 8, 2021, 1:02:10 PM"
39378465,Accepted,"Nov 12, 2021, 2:57:12 PM"
9583401,Accepted,"Jan 31, 2022, 12:40:54 PM"
99099041,Accepted,"Feb 21, 2022, 4:11:10 PM"
43848325,Accepted,"Mar 11, 2022, 1:08:51 PM"
42896060,Accepted,"Apr 27, 2022, 12:22:11 AM"
55229846,Accepted,"Apr 27, 2022, 2:08:46 PM"
7797465,Accepted,"May 8, 2022, 9:22:17 PM"
