Comment Date,Comment
"Jul 20, 2019, 7:19:38 PM","Not a baby clown, a clown baby- it's like a baby- it's like a clown that is a baby"
"Jul 28, 2019, 1:14:00 AM",Thanks Veronica Carrillo.  I need to come run with you fast folks one of these days!
"Jul 28, 2019, 1:18:03 AM",Great title! I wish I could think of a quote from that episode that wouldn’t be horribly offensive. 
"Aug 10, 2019, 3:11:12 PM",Welcome!  Driscoll Middle school on Jones Maltsberger has a nice 8 line track that is open. 
"Aug 10, 2019, 3:12:12 PM",Nice work!
"Aug 17, 2019, 4:33:55 PM","Steven’s watch said 15 even, and the way I was feeling I chose to trust his watch over mine!"
"Aug 19, 2019, 9:11:50 PM",I don't know how you manage to do these runs when it's 100 degrees!  I just walked 100 feet from my car and I want to die.
"Aug 21, 2019, 3:15:58 PM","I stayed home and ate a bag of chips, so you beat me.  Just keep putting in the work and it will come around for you!"
"Aug 21, 2019, 5:11:09 PM",Not even lunch time and you already got a double in?  Nice work!
"Sep 4, 2019, 4:27:49 PM",You are well on your way to becoming the number one beet-related agri-tourism destination in Southern San Antonio
"Sep 14, 2019, 4:42:54 PM",Very nice!  Steven and I must have just missed you on the greenway. 
"Oct 8, 2019, 3:08:10 PM",Strong work!
"Oct 13, 2019, 2:12:35 PM",Nice to see you on Strava!
"Oct 13, 2019, 5:36:42 PM",Great pacing!  Congrats!
"Oct 13, 2019, 5:38:57 PM",Looks like your watch struggled but you had no problems. Well done!
"Oct 14, 2019, 8:37:51 PM","Thanks, straight through!  This Pfitz plan has a lot of these race-pace sections as a part of longer runs. "
"Oct 15, 2019, 6:38:26 PM","I was trying to, but the workers were out with the heavy equipment so I only got half a mile or so before I turned back. "
"Oct 26, 2019, 4:01:32 PM",Very nice!  💪💪💪
"Oct 26, 2019, 4:17:16 PM",Happy birthday!  
"Nov 5, 2019, 12:34:25 AM","Yup, there’s a few coming over the next couple weeks!"
"Nov 16, 2019, 8:48:51 PM",I thought the same thing!  But then I realized I would have had to wake up before 8 am
"Nov 23, 2019, 4:19:31 PM","This is the life. Warm sun, cool ocean breezes, gettin’ ripshit on ham. "
"Nov 26, 2019, 5:18:33 PM",I drink it every morning so I can fight like a crow!
"Dec 3, 2019, 6:22:30 PM",Thanks Fred!  Aiming for a BQ at Houston this January.  How about you?
"Dec 8, 2019, 10:02:49 PM",Thanks all!  
"Jan 4, 2020, 11:11:02 PM",You guys were looking strong out there! You'll do great in Houston!
"Jan 11, 2020, 4:28:11 PM","Likewise, Veronica Carrillo!"
"Jan 19, 2020, 10:28:51 PM",Let’s do an 18 mile long run in a couple weeks to discuss where your next one will be. 🤪
"Jan 19, 2020, 11:47:38 PM","Thanks so much everyone!  I had given up on ever qualifying for Boston, but running with all of you over the last two years has really pushed me and made running fun again.  "
"Jan 20, 2020, 1:06:54 AM","Great job, Sylvia!"
"Apr 2, 2020, 2:06:01 PM","I think a tiger sanctuary in LaVernia would be awesome.  Just bleach your hair, then get a mullet and an eyebrow piercing, Steven Exotic?"
"Apr 2, 2020, 2:23:53 PM",🐅
"Apr 2, 2020, 4:57:50 PM",Bike uploaded as run
"Apr 4, 2020, 2:30:20 PM",Well done!  Isn’t this also known as the 2nd annual “Cap10K is cancelled” 5k time trial?
"Apr 4, 2020, 5:04:35 PM","Wow, well done in those conditions!  Looking to forward to seeing what you can do now when racing returns."
"Apr 6, 2020, 8:20:35 PM",Mostly hamstring issues and a pretty bad abdominal strain. I definitely need to do some core work as I build mileage back up this time around. 
"Apr 13, 2020, 2:12:35 PM",If I could run .09 miles without stopping I’d be coming for it!
"May 13, 2020, 3:57:27 PM",bike ride loaded as run
"May 13, 2020, 3:58:35 PM",bike ride as run.  
"May 19, 2020, 11:01:46 PM",😓 me too 
"May 30, 2020, 2:52:21 PM",Use a sock 🧦 
"May 31, 2020, 4:29:38 PM",Wow!  Incredible effort and looks like an awesome experience!
