Follower Athlete ID,Follow Status,Created At
19178650,Accepted,"Jul 24, 2021, 4:58:50 PM"
2019923,Accepted,"Jul 28, 2021, 1:41:03 PM"
525912,Accepted,"Jul 28, 2021, 2:25:47 PM"
35851188,Accepted,"Aug 11, 2021, 1:16:12 PM"
76825062,Accepted,"Sep 6, 2021, 5:18:12 PM"
24465519,Accepted,"Sep 6, 2021, 5:41:19 PM"
31168677,Accepted,"Sep 13, 2021, 12:58:16 AM"
60314348,Accepted,"Sep 16, 2021, 7:04:24 PM"
282533,Accepted,"Sep 25, 2021, 8:21:03 PM"
45097219,Accepted,"Oct 3, 2021, 6:50:03 AM"
13937043,Accepted,"Oct 23, 2021, 3:19:46 PM"
95044927,Accepted,"Nov 6, 2021, 10:28:55 PM"
39378465,Accepted,"Nov 12, 2021, 2:57:22 PM"
99099041,Accepted,"Feb 21, 2022, 4:55:12 PM"
55229846,Accepted,"Mar 22, 2022, 9:08:47 PM"
73487317,Accepted,"Mar 26, 2022, 3:05:13 AM"
19777508,Accepted,"Apr 3, 2022, 11:14:40 AM"
88023889,Accepted,"Apr 24, 2022, 2:24:42 PM"
42896060,Accepted,"Apr 26, 2022, 11:25:00 PM"
